він, TFIDF: 0.0361388412406345, DE: 1.82815547219849
як, TFIDF: 0.0342109509819075, DE: 1.20427523742846
а, TFIDF: 0.0581586166692427, DE: 0.948095435447052
ж, TFIDF: 0.0399429297922803, DE: 0.989699924483561
т, TFIDF: 0.0360752730939473, DE: 0.844209960346798
поїзд, TFIDF: 0.0420258830408103, DE: 1.93748611023891
для, TFIDF: 0.041053141178289, DE: 0.725744985815305
го, TFIDF: 0.032515661661696, DE: 0.999865582364406
ми, TFIDF: 0.0380408855164574, DE: 1.56625761558554
національний, TFIDF: 0.0336207064326482, DE: 0
більшість, TFIDF: 0.0360752730939473, DE: 0
зокрема, TFIDF: 0.0357672278278656, DE: 0
салону, TFIDF: 0.0336207064326482, DE: 0
козак, TFIDF: 0.0336207064326482, DE: 0
