лікар, TFIDF: 0.156815075088509, DE: 0.382907259425402
комаровський, TFIDF: 0.0435597430801413, DE: 0.816216216216216
грві, TFIDF: 0.0609836403121978, DE: 0.840101562610358
здоров'я, TFIDF: 0.0958314347763108, DE: 0
євген, TFIDF: 0.0587587752117811, DE: 0
захворювання, TFIDF: 0.0871194861602825, DE: 0.0486486486486487
кашель, TFIDF: 0.069695588928226, DE: 0
хвороби, TFIDF: 0.069695588928226, DE: 0
лікарі, TFIDF: 0.0435597430801413, DE: 0
жінки, TFIDF: 0.034847794464113, DE: 0
щеплення, TFIDF: 0.0609836403121978, DE: 0
