малюнок, TFIDF: 0.081738576720971, DE: 0.640434295934368
вчені, TFIDF: 0.210494671199851, DE: 0
малюнку, TFIDF: 0.0490431460325826, DE: 0.258064516129032
індонезії, TFIDF: 0.0490431460325826, DE: 0.703225806451613
тисячі, TFIDF: 0.0505932765821817, DE: 0
років, TFIDF: 0.0961843011648679, DE: 0.399661667527867
печерні, TFIDF: 0.081738576720971, DE: 0.529032258064516
малюнки, TFIDF: 0.0801884461713718, DE: 1.12615301071301
тварин, TFIDF: 0.081738576720971, DE: 0.820636538806396
полюють, TFIDF: 0.0490431460325826, DE: 0
мистецтва, TFIDF: 0.0653908613767768, DE: 0.32258064516129
знайдені, TFIDF: 0.081738576720971, DE: 0
мисливців, TFIDF: 0.0490431460325826, DE: 0
людської, TFIDF: 0.0490431460325826, DE: 0.633819664672612
університету, TFIDF: 0.0505932765821817, DE: 0
планеті, TFIDF: 0.0490431460325826, DE: 0
сулавесі, TFIDF: 0.081738576720971, DE: 0
відкриття, TFIDF: 0.0569174361549544, DE: 0
стародавні, TFIDF: 0.0980862920651652, DE: 0
вказує, TFIDF: 0.0490431460325826, DE: 0
відео, TFIDF: 0.0902120019427933, DE: 0
істот, TFIDF: 0.0653908613767768, DE: 0
