а, TFIDF: 0.0449893443452414, DE: 0.982349679969175
він, TFIDF: 0.072259670698354, DE: 0.346765951598645
жодних, TFIDF: 0.0351415065555307, DE: 0.416512591025725
би, TFIDF: 0.0409380918762439, DE: 0.868935083599916
дуже, TFIDF: 0.0463203017297141, DE: 0
але, TFIDF: 0.0537315500064684, DE: 0.627765327308001
так, TFIDF: 0.0352034293145827, DE: 0.172985781990521
для, TFIDF: 0.0458224803516347, DE: 0.337276305845193
під, TFIDF: 0.0574371741448455, DE: 0
перші, TFIDF: 0.0351415065555307, DE: 0
які, TFIDF: 0.0333254402557344, DE: 0.464454976303318
час, TFIDF: 0.0481731137989027, DE: 0
об, TFIDF: 0.0443436441424215, DE: 0
