ярмоленко, TFIDF: 3.25037707697791, DE: 0.52853982818668
отримав, TFIDF: 0.224812362581905, DE: 0.572519083969466
травму, TFIDF: 1.30015083079116, DE: 0.572519083969466
і, TFIDF: 0, DE: 0.389686992919091
пропустить, TFIDF: 0.566118131222453, DE: 0.0381679389312977
кілька, TFIDF: 0.186952345143303, DE: 0
тижнів, TFIDF: 0.418513880269443, DE: 0
грудня, TFIDF: 0.0514975304850871, DE: 0
футбол, TFIDF: 0.418513880269443, DE: 0
українець, TFIDF: 0.418513880269443, DE: 0
не, TFIDF: 0.154492591455261, DE: 0.395033558257576
зіграє, TFIDF: 0.418513880269443, DE: 0
за, TFIDF: 0, DE: 0.511450381679389
вест, TFIDF: 2.60030166158233, DE: 0.529916164635377
хем, TFIDF: 1.30015083079116, DE: 0.618320610687023
в, TFIDF: 0, DE: 0.546961347104515
найближчих, TFIDF: 0.650075415395582, DE: 0
поєдинках, TFIDF: 1.30015083079116, DE: 0.0381679389312977
андрій, TFIDF: 0.373904690286607, DE: 0.862595419847328
півзахисник, TFIDF: 0.650075415395582, DE: 0
англійського, TFIDF: 0.650075415395582, DE: 0
хема, TFIDF: 0.650075415395582, DE: 0
збірної, TFIDF: 0.418513880269443, DE: 0
україни, TFIDF: 0.0514975304850871, DE: 0
стегна, TFIDF: 0.837027760538886, DE: 0.541984732824428
через, TFIDF: 0.0514975304850871, DE: 0
яку, TFIDF: 0.112406181290952, DE: 0
вийде, TFIDF: 0.418513880269443, DE: 0
на, TFIDF: 0, DE: 0.714546224356431
поле, TFIDF: 0.650075415395582, DE: 0
найближчі, TFIDF: 0.650075415395582, DE: 0
тижні, TFIDF: 0.418513880269443, DE: 0
читайте, TFIDF: 0.224812362581905, DE: 0.312977099236641
також, TFIDF: 0.0514975304850871, DE: 0
найгірший, TFIDF: 0.650075415395582, DE: 0
полі, TFIDF: 0.418513880269443, DE: 0
провалив, TFIDF: 0.650075415395582, DE: 0
ще, TFIDF: 0.0514975304850871, DE: 0
один, TFIDF: 0.0514975304850871, DE: 0
матч, TFIDF: 0.418513880269443, DE: 0
апл, TFIDF: 1.30015083079116, DE: 0.236641221374046
про, TFIDF: 0, DE: 0.0381679389312977
це, TFIDF: 0, DE: 0
повідомляє, TFIDF: 0.0514975304850871, DE: 0
сайт, TFIDF: 0.418513880269443, DE: 0
український, TFIDF: 0.186952345143303, DE: 0
футболіст, TFIDF: 0.418513880269443, DE: 0
пошкодив, TFIDF: 0.650075415395582, DE: 0
м'яз, TFIDF: 0.650075415395582, DE: 0
та, TFIDF: 0, DE: 0.297709923664122
у, TFIDF: 0, DE: 0.83209608442324
другому, TFIDF: 0.418513880269443, DE: 0
сезоні, TFIDF: 0.373904690286607, DE: 0.450381679389313
поспіль, TFIDF: 0.283059065611227, DE: 0
новорічний, TFIDF: 0.650075415395582, DE: 0
період, TFIDF: 0.186952345143303, DE: 0
чемпіонаті, TFIDF: 0.418513880269443, DE: 0
англії, TFIDF: 0.650075415395582, DE: 0
річний, TFIDF: 0.283059065611227, DE: 0
вінгер, TFIDF: 0.650075415395582, DE: 0
допоможе, TFIDF: 0.418513880269443, DE: 0
хему, TFIDF: 0.650075415395582, DE: 0
проти, TFIDF: 0.112406181290952, DE: 0
лестера, TFIDF: 0.650075415395582, DE: 0
борнмута, TFIDF: 0.650075415395582, DE: 0
джиллінгема, TFIDF: 0.650075415395582, DE: 0
шеффілда, TFIDF: 0.650075415395582, DE: 0
евертона, TFIDF: 0.650075415395582, DE: 0
залишається, TFIDF: 0.283059065611227, DE: 0
ймовірність, TFIDF: 0.418513880269443, DE: 0
що, TFIDF: 0, DE: 0.572519083969466
встигне, TFIDF: 0.418513880269443, DE: 0
відновитися, TFIDF: 0.650075415395582, DE: 0
до, TFIDF: 0.0514975304850871, DE: 0
гри, TFIDF: 0.650075415395582, DE: 0
з, TFIDF: 0, DE: 0
лестером, TFIDF: 0.650075415395582, DE: 0
січня, TFIDF: 0.112406181290952, DE: 0
поточному, TFIDF: 0.418513880269443, DE: 0
хавбек, TFIDF: 0.650075415395582, DE: 0
провів, TFIDF: 0.418513880269443, DE: 0
матчів, TFIDF: 0.418513880269443, DE: 0
забив, TFIDF: 0.650075415395582, DE: 0
голи, TFIDF: 0.418513880269443, DE: 0
віддав, TFIDF: 0.650075415395582, DE: 0
ассист, TFIDF: 0.650075415395582, DE: 0
молотобійців, TFIDF: 0.650075415395582, DE: 0
уніан, TFIDF: 0.566118131222453, DE: 0.755725190839695
раніше, TFIDF: 0.0514975304850871, DE: 0
повідомляв, TFIDF: 0.186952345143303, DE: 0
те, TFIDF: 0.0514975304850871, DE: 0
може, TFIDF: 0.0514975304850871, DE: 0
продати, TFIDF: 0.418513880269443, DE: 0
ярмоленка, TFIDF: 0.650075415395582, DE: 0
січні, TFIDF: 0.650075415395582, DE: 0
детальніше, TFIDF: 0.650075415395582, DE: 0
